"naf DATA",
"PROGRAM","LEVEL","BYTES","C_BYTES","BPS_original","BPS_final","GAIN","C_TIME(s)","C_RAM(GB)","D_TIME(s)","D_MEM(GB)","DIFF","RUN"
NAF_test,1,1023030000,32376010,.253,.253,0,2.45,7812,5.25,7584,0,0
NAF_test-sortmf,1,1023030000,8355401,.253,.065,74.200,2.23,7708,9.89,7540,0,0
NAF_test-fasta_analysis,1,1023030000,8763446,.253,.068,73.000,2.24,7716,6.56,7544,0,0
NAF_test,8,1023030000,15024038,.117,.117,0,4.72,26004,4.98,9124,0,0
NAF_test-sortmf,8,1023030000,7264610,.117,.056,51.700,4.18,25960,5.98,9128,0,0
NAF_test-fasta_analysis,8,1023030000,7276786,.117,.056,51.600,4.13,25948,5.93,9124,0,0
NAF_test,15,1023030000,6871407,.053,.053,0,294.96,342040,5.31,11240,0,0
NAF_test-sortmf,15,1023030000,7831055,.053,.061,-13.900,473.01,341976,6.39,11020,0,0
NAF_test-fasta_analysis,15,1023030000,7938683,.053,.062,-15.500,612.64,341976,5.89,11020,0,0
NAF_test,22,1023030000,7128073,.055,.055,0,202.74,3462540,7.96,138224,0,0
NAF_test-sortmf,22,1023030000,7245447,.055,.056,-1.600,183.17,3462488,10.63,138020,0,0
NAF_test-fasta_analysis,22,1023030000,7378808,.055,.057,-3.500,181.54,3462440,6.10,138024,0,0
